name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Rashee Rice,WR,KC,22.1,199.4,254.7,173.4,9.15,8,48,5,NA
DeVonta Smith,WR,PHI,24.0,196.8,228.5,173.4,7.6,11,48,10,NA
Omarion Hampton,RB,LAC,25.6,236.2,306.8,198.6,7.39,11,46,7,NA
Josh Allen,QB,BUF,25.9,380.9,380.9,374.9,2.48,21,36,7,NA
Saquon Barkley,RB,PHI,25.9,228.6,306.8,210.1,7.1,10,41,10,NA
Malik Nabers,WR,NYG,28.6,193.8,254.7,160.5,11.16,8,60,8,NA
Kenneth Walker III,RB,KC,29.3,222.5,288.4,189.6,9.13,14,56,5,NA
Zay Flowers,WR,BAL,29.4,190.4,228.5,176.1,7.59,12,44,13,NA
Garrett Wilson,WR,NYJ,30.3,187.0,213.1,174.7,6.99,15,46,13,NA
Lamar Jackson,QB,BAL,32.3,374.9,380.9,328.2,9.26,25,59,13,NA
Tetairoa McMillan,WR,CAR,33.7,183.2,220.3,174.7,7.48,14,46,5,NA
Tee Higgins,WR,CIN,34.8,180.5,207.3,171.9,7.37,19,52,6,NA
Ladd McConkey,WR,LAC,35.7,178.8,220.3,173.4,6.91,14,48,7,NA
Emeka Egbuka,WR,TB,37.7,177.4,220.3,167.1,7.99,14,55,10,NA
Derrick Henry,RB,BAL,37.8,217.9,288.4,189.6,8.23,17,56,13,NA
Colston Loveland,TE,CHI,38.0,179.8,184.6,143.9,14.42,22,97,10,NA
Jeremiyah Love,RB,ARI,38.1,214.2,244.1,170.7,7.09,22,65,14,NA
Jaylen Waddle,WR,DEN,38.2,176.1,207.3,162.6,7.48,18,59,10,NA
Drake Maye,QB,NE,39.2,367.8,380.9,296.2,14.57,26,92,11,NA
Breece Hall,RB,NYJ,40.8,210.1,228.6,170.7,6.55,26,67,13,NA
Kyren Williams,RB,LAR,41.9,206.7,244.1,189.6,6.68,23,56,11,NA
Josh Jacobs,RB,GB,44.2,202.8,228.6,178.6,7.16,29,61,11,NA
